"","timebyday","timestamp","season","pm2.5","Iws","Is","Ir","DEWP","TEMP","PRES","cbwd_data"
"1","2013-01-01",15706,"Spring",16.5,46.6466666666667,0,0,-20.5416666666667,-7.20833333333333,1023.66666666667,"NW"
"2","2013-01-02",15707,"Spring",18.4583333333333,233.05625,0,0,-27.4583333333333,-10.5,1039.45833333333,"NW"
"3","2013-01-03",15708,"Spring",24.5,96.3945833333333,0,0,-24.5833333333333,-9.875,1043.45833333333,"NW"
"4","2013-01-04",15709,"Spring",78.7916666666667,12.8416666666667,0,0,-21.0833333333333,-10.6666666666667,1032.79166666667,"NW"
"5","2013-01-05",15710,"Spring",66.4166666666667,8.88625,0,0,-21.0833333333333,-7.58333333333333,1028.70833333333,"NW"
"6","2013-01-06",15711,"Spring",131.083333333333,10.8383333333333,0,0,-17.5833333333333,-6.70833333333333,1027.66666666667,"cv"
"7","2013-01-07",15712,"Spring",144.166666666667,6.33583333333333,0,0,-15.7916666666667,-7.125,1025.25,"NW"
"8","2013-01-08",15713,"Spring",131.75,30.8983333333333,0,0,-17.5833333333333,-6.95833333333333,1031,"NW"
"9","2013-01-09",15714,"Spring",50.1666666666667,5.38166666666667,0,0,-19.4583333333333,-6.95833333333333,1030.625,"cv"
"10","2013-01-10",15715,"Spring",242.916666666667,6.87333333333333,0,0,-13.0833333333333,-8.29166666666667,1027.70833333333,"cv"
"11","2013-01-11",15716,"Spring",363.75,3.72291666666667,0.0416666666666667,0,-7.79166666666667,-3.875,1024.08333333333,"NW"
"12","2013-01-12",15717,"Spring",552.478260869565,3.32304347826087,0,0,-10,-7.26086956521739,1023.13043478261,"cv"
"13","2013-01-13",15718,"Spring",435.173913043478,5.28826086956522,0,0,-6.56521739130435,-3.73913043478261,1024.60869565217,"cv"
"14","2013-01-14",15719,"Spring",306.083333333333,10.6541666666667,0.0833333333333333,0,-7.5,-4.625,1027.33333333333,"cv"
"15","2013-01-15",15720,"Spring",113.826086956522,33.5647826086957,0.652173913043478,0,-7.52173913043478,-5.1304347826087,1026.34782608696,"NE"
"16","2013-01-16",15721,"Spring",118.391304347826,8.76695652173913,0,0,-13.9130434782609,-4,1033.13043478261,"cv"
"17","2013-01-17",15722,"Spring",65.1666666666667,8.66166666666667,0,0,-15.625,-3.66666666666667,1037.125,"cv"
"18","2013-01-18",15723,"Spring",271.541666666667,2.84875,0,0,-12.25,-5.58333333333333,1027.375,"cv"
"19","2013-01-19",15724,"Spring",202.916666666667,3.985,0,0,-10.25,-2.41666666666667,1029.45833333333,"cv"
"20","2013-01-20",15725,"Spring",104.208333333333,2.68,1.5,0,-5.83333333333333,-2.41666666666667,1030.83333333333,"cv"
"21","2013-01-21",15726,"Spring",150.208333333333,6.46291666666667,0,0,-5.83333333333333,-2,1028.91666666667,"NW"
"22","2013-01-22",15727,"Spring",184.333333333333,6.61,1.16666666666667,0,-7.75,-6.20833333333333,1028.91666666667,"NE"
"23","2013-01-23",15728,"Spring",386.333333333333,3.57583333333333,0.458333333333333,0,-6.45833333333333,-5.08333333333333,1019.375,"NE"
"24","2013-01-24",15729,"Spring",28.9166666666667,31.3625,0,0,-16.2083333333333,-0.708333333333333,1022.875,"NW"
"25","2013-01-25",15730,"Spring",69.4583333333333,3.50041666666667,0,0,-15.9166666666667,-7,1023.91666666667,"cv"
"26","2013-01-26",15731,"Spring",157.458333333333,3.6475,0,0,-10.9583333333333,-5.70833333333333,1027.41666666667,"cv"
